# AWS EC2 instance-type catalogue — node capacity source for synthkit.
# captured: ec2-instance-selector -o table-wide --max-results 5000 (tool v3.1.3) on 2026-06-14
# columns: instance_type,vcpu,mem_gib,arch,network,enis,ipv4_per_eni
c7i.metal-24xl,96,192,x86_64,37.5 Gigabit,15,50
c7i.metal-48xl,192,384,x86_64,50 Gigabit,15,50
c7i.xlarge,4,8,x86_64,Up to 12.5 Gigabit,4,15
c8a.12xlarge,48,96,x86_64,22.5 Gigabit,12,64
c8a.16xlarge,64,128,x86_64,30 Gigabit,16,64
c8a.24xlarge,96,192,x86_64,40 Gigabit,16,64
c8a.2xlarge,8,16,x86_64,Up to 15 Gigabit,4,40
c8a.48xlarge,192,384,x86_64,75 Gigabit,24,64
c8a.4xlarge,16,32,x86_64,Up to 15 Gigabit,8,40
c8a.8xlarge,32,64,x86_64,15 Gigabit,10,40
c8a.large,2,4,x86_64,Up to 12.5 Gigabit,3,20
c8a.medium,1,2,x86_64,Up to 12.5 Gigabit,2,4
c8a.metal-24xl,96,192,x86_64,40 Gigabit,16,64
c8a.metal-48xl,192,384,x86_64,75 Gigabit,24,64
c8a.xlarge,4,8,x86_64,Up to 12.5 Gigabit,4,20
c8g.12xlarge,48,96,arm64,22.5 Gigabit,8,30
c8g.16xlarge,64,128,arm64,30 Gigabit,15,50
c8g.24xlarge,96,192,arm64,40 Gigabit,15,50
c8g.2xlarge,8,16,arm64,Up to 15 Gigabit,4,15
c8g.48xlarge,192,384,arm64,50 Gigabit,15,50
c8g.4xlarge,16,32,arm64,Up to 15 Gigabit,8,30
c8g.8xlarge,32,64,arm64,15 Gigabit,8,30
c8g.large,2,4,arm64,Up to 12.5 Gigabit,3,10
c8g.medium,1,2,arm64,Up to 12.5 Gigabit,2,4
c8g.metal-24xl,96,192,arm64,40 Gigabit,15,50
c8g.metal-48xl,192,384,arm64,50 Gigabit,15,50
c8g.xlarge,4,8,arm64,Up to 12.5 Gigabit,4,15
c8gd.12xlarge,48,96,arm64,22.5 Gigabit,8,30
c8gd.16xlarge,64,128,arm64,30 Gigabit,15,50
c8gd.24xlarge,96,192,arm64,40 Gigabit,15,50
c8gd.2xlarge,8,16,arm64,Up to 15 Gigabit,4,15
c8gd.48xlarge,192,384,arm64,50 Gigabit,15,50
c8gd.4xlarge,16,32,arm64,Up to 15 Gigabit,8,30
c8gd.8xlarge,32,64,arm64,15 Gigabit,8,30
c8gd.large,2,4,arm64,Up to 12.5 Gigabit,3,10
c8gd.medium,1,2,arm64,Up to 12.5 Gigabit,2,4
c8gd.metal-24xl,96,192,arm64,40 Gigabit,15,50
c8gd.metal-48xl,192,384,arm64,50 Gigabit,15,50
c8gd.xlarge,4,8,arm64,Up to 12.5 Gigabit,4,15
c8gn.12xlarge,48,96,arm64,150 Gigabit,12,30
c8gn.16xlarge,64,128,arm64,200 Gigabit,16,50
c8gn.24xlarge,96,192,arm64,300 Gigabit,24,50
c8gn.2xlarge,8,16,arm64,Up to 50 Gigabit,4,15
c8gn.48xlarge,192,384,arm64,600 Gigabit,24,50
c8gn.4xlarge,16,32,arm64,50 Gigabit,8,30
c8gn.8xlarge,32,64,arm64,100 Gigabit,10,30
c8gn.large,2,4,arm64,Up to 30 Gigabit,3,10
c8gn.medium,1,2,arm64,Up to 25 Gigabit,2,4
c8gn.xlarge,4,8,arm64,Up to 40 Gigabit,4,15
c8i-flex.12xlarge,48,96,x86_64,Up to 22.5 Gigabit,12,50
c8i-flex.16xlarge,64,128,x86_64,Up to 30 Gigabit,16,64
c8i-flex.2xlarge,8,16,x86_64,Up to 15 Gigabit,4,30
c8i-flex.4xlarge,16,32,x86_64,Up to 15 Gigabit,8,50
c8i-flex.8xlarge,32,64,x86_64,Up to 15 Gigabit,10,50
c8i-flex.large,2,4,x86_64,Up to 12.5 Gigabit,3,20
c8i-flex.xlarge,4,8,x86_64,Up to 12.5 Gigabit,4,30
c8i.12xlarge,48,96,x86_64,22.5 Gigabit,12,50
c8i.16xlarge,64,128,x86_64,30 Gigabit,16,64
c8i.24xlarge,96,192,x86_64,40 Gigabit,16,64
c8i.2xlarge,8,16,x86_64,Up to 15 Gigabit,4,30
c8i.32xlarge,128,256,x86_64,50 Gigabit,24,64
c8i.48xlarge,192,384,x86_64,75 Gigabit,24,64
c8i.4xlarge,16,32,x86_64,Up to 15 Gigabit,8,50
c8i.8xlarge,32,64,x86_64,15 Gigabit,10,50
c8i.96xlarge,384,768,x86_64,100 Gigabit,24,64
c8i.large,2,4,x86_64,Up to 12.5 Gigabit,3,20
c8i.metal-48xl,192,384,x86_64,75 Gigabit,24,64
c8i.metal-96xl,384,768,x86_64,100 Gigabit,24,64
c8i.xlarge,4,8,x86_64,Up to 12.5 Gigabit,4,30
d2.2xlarge,8,61,x86_64,High,4,15
d2.4xlarge,16,122,x86_64,High,8,30
d2.8xlarge,36,244,x86_64,10 Gigabit,8,30
d2.xlarge,4,30.5,x86_64,Moderate,4,15
d3.2xlarge,8,64,x86_64,Up to 15 Gigabit,4,5
d3.4xlarge,16,128,x86_64,Up to 15 Gigabit,4,10
d3.8xlarge,32,256,x86_64,25 Gigabit,3,20
d3.xlarge,4,32,x86_64,Up to 15 Gigabit,4,3
d3en.12xlarge,48,192,x86_64,75 Gigabit,3,30
d3en.2xlarge,8,32,x86_64,Up to 25 Gigabit,4,5
d3en.4xlarge,16,64,x86_64,25 Gigabit,4,10
d3en.6xlarge,24,96,x86_64,40 Gigabit,4,15
d3en.8xlarge,32,128,x86_64,50 Gigabit,4,20
d3en.xlarge,4,16,x86_64,Up to 25 Gigabit,4,3
g4ad.16xlarge,64,256,x86_64,25 Gigabit,8,30
g4ad.2xlarge,8,32,x86_64,Up to 10 Gigabit,2,4
g4ad.4xlarge,16,64,x86_64,Up to 10 Gigabit,3,10
g4ad.8xlarge,32,128,x86_64,15 Gigabit,4,15
g4ad.xlarge,4,16,x86_64,Up to 10 Gigabit,2,4
g4dn.12xlarge,48,192,x86_64,50 Gigabit,8,30
g4dn.16xlarge,64,256,x86_64,50 Gigabit,4,15
g4dn.2xlarge,8,32,x86_64,Up to 25 Gigabit,3,10
g4dn.4xlarge,16,64,x86_64,Up to 25 Gigabit,3,10
g4dn.8xlarge,32,128,x86_64,50 Gigabit,4,15
g4dn.metal,96,384,x86_64,100 Gigabit,15,50
g4dn.xlarge,4,16,x86_64,Up to 25 Gigabit,3,10
g5.12xlarge,48,192,x86_64,40 Gigabit,15,50
g5.16xlarge,64,256,x86_64,25 Gigabit,8,30
g5.24xlarge,96,384,x86_64,50 Gigabit,15,50
g5.2xlarge,8,32,x86_64,Up to 10 Gigabit,4,15
g5.48xlarge,192,768,x86_64,100 Gigabit,7,50
g5.4xlarge,16,64,x86_64,Up to 25 Gigabit,8,30
